('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1636902 function calls (1616083 primitive calls) in 3.011 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      172    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
        1    0.000    0.000    0.002    0.002 charset.py:1(<module>)
        1    0.000    0.000    0.002    0.002 selectors.py:1(<module>)
        1    0.000    0.000    0.002    0.002 message.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ssl.py:730(_create_unverified_context)
        1    0.000    0.000    0.002    0.002 ssl.py:430(__new__)
      907    0.001    0.000    0.002    0.000 _parser.py:171(__setitem__)
        1    0.000    0.000    0.002    0.002 idna.py:1(<module>)
       38    0.000    0.000    0.002    0.000 typing.py:1634(__getitem__)
      137    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
     7181    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     3166    0.001    0.000    0.002    0.000 _parser.py:292(tell)
      193    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      146    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      564    0.001    0.000    0.002    0.000 _compiler.py:214(_compile_charset)
        1    0.000    0.000    0.002    0.002 __init__.py:135(BeautifulSoup)
      107    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
        1    0.000    0.000    0.002    0.002 traceback.py:1(<module>)
        1    0.000    0.000    0.002    0.002 ipaddress.py:1(<module>)
       21    0.000    0.000    0.002    0.000 typing.py:806(Optional)
      175    0.001    0.000    0.002    0.000 typing.py:173(_type_check)
        1    0.000    0.000    0.002    0.002 typing_extensions.py:1(<module>)
     7265    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
     4192    0.002    0.000    0.002    0.000 __init__.py:290(can_be_empty_element)
        9    0.000    0.000    0.002    0.000 __init__.py:358(namedtuple)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
      138    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      199    0.000    0.000    0.002    0.000 css_types.py:360(__init__)
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
     5381    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
      990    0.001    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      155    0.001    0.000    0.001    0.000 enum.py:1605(__and__)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
      592    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
     4053    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
       86    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
     4293    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
       43    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
      686    0.001    0.000    0.001    0.000 _parser.py:448(_uniq)
     5476    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      672    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
      620    0.001    0.000    0.001    0.000 typing.py:1368(__setattr__)
      138    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.001    0.001 __init__.py:477(StrFormatStyle)
     4192    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
        1    0.000    0.000    0.001    0.001 __meta__.py:1(<module>)
      138    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
      106    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
     3943    0.001    0.000    0.001    0.000 {built-in method builtins.max}
      107    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
        1    0.000    0.000    0.001    0.001 encoders.py:1(<module>)
      688    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
       98    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
       60    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
     3731    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.001    0.001 dammit.py:98(EntitySubstitution)
        1    0.000    0.000    0.001    0.001 _markupbase.py:1(<module>)
       22    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      125    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
        9    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     3966    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
       18    0.000    0.000    0.001    0.000 enum.py:498(__new__)
        1    0.000    0.000    0.001    0.001 error.py:1(<module>)
      142    0.001    0.000    0.001    0.000 css_parser.py:369(__init__)
     4191    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
     5795    0.001    0.000    0.001    0.000 element.py:2414(__bool__)
      100    0.000    0.000    0.001    0.000 typing.py:260(_collect_type_parameters)
